artist,name,song,person,sentence,year,highestRank
Drake,Romeo,Do Not Disturb,True,I don't have no time to be no Romeo,2017.0,60.0
Metro Boomin Featuring 21 Savage,Maya,Don't Come Out The House,True,"Look like Maya, she's on fire",2018.0,38.0
DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih,Calvin,Don't Quit,True,"Ayy yo Calvin Harris, they ain't see this one comin'!",2017.0,68.0
Lil Wayne Featuring Nivea,Michael,Dope New Gospel,True,And I think I'm bad like Michael,2018.0,90.0
Nipsey Hussle Featuring Belly & DOM KENNEDY,Eric,Double Up,True,"Eric B by the rope chain, RSC, we fo' sho bang",2019.0,65.0
Fifth Harmony Featuring Gucci Mane,Bonnie,Down,True,It's just like Bonnie and Clyde just walked in,2017.0,42.0
Fifth Harmony Featuring Gucci Mane,Clyde,Down,True,It's just like Bonnie and Clyde just walked in,2017.0,42.0
Fifth Harmony Featuring Gucci Mane,Jordan,Down,True,Got me showin' off my ring like I'm Jordan,2017.0,42.0
Jake Owen,Shelia,Down To The Honkytonk,True,"I got a girl, her name's Shelia",2019.0,65.0
Jake Owen,Waylon,Down To The Honkytonk,True,I got a dog named Waylon,2019.0,65.0
Metro Boomin Featuring Swae Lee & Travis Scott,Fred,Dreamcatcher,True,I've been living through a maze on my Fred Durst,2018.0,72.0
Bryce Vine,Bonnie,Drew Barrymore,True,Bonnie to a Clyde,2018.0,46.0
Bryce Vine,Clyde,Drew Barrymore,True,Bonnie to a Clyde,2018.0,46.0
Bryce Vine,Drew,Drew Barrymore,True,Cause you're the next Drew Barry,2018.0,46.0
Bryce Vine,Juliet,Drew Barrymore,True,Paris and Juliet,2018.0,46.0
Bryce Vine,Lauryn,Drew Barrymore,True,Finally wearing nothing but my Lauryn Hill shirt,2018.0,46.0
Bryce Vine,Paris,Drew Barrymore,True,Paris and Juliet,2018.0,46.0
Cardi B Featuring Migos,Ken,Drip,True,Got rib and Ken Griffen,2018.0,21.0
Cardi B Featuring Migos,Michael,Drip,True,For the cash I'ma turn to Michael Myers,2018.0,21.0
A Boogie Wit da Hoodie Featuring Kodak Black,Carlton,Drowning,True,Lil Kodak bitch I'm Polo'd down like Carlton,2017.0,38.0
